customerId,customerAge,customerPlansChanged,smsCountPerMonth,callMinutePerMonth,dataMBPerMonth,netflixStream,pickboxStream,youtubeStream,hboGoStream,viberFree,whatsappFree
1,18,3,2678400,44640,2048,false,false,false,false,true,false
2,21,3,300,300,5120,false,false,false,false,true,false
3,24,3,2000,3000,20480,false,false,false,false,true,false
4,61,0,0,0,0,false,false,false,false,false,false
5,31,5,5000,1000,3072,false,false,true,true,false,false
6,15,3,5000,5000,25600,false,false,false,false,true,false
7,40,2,0,300,20480,false,false,false,false,false,false
8,17,3,3000,2000,5120,false,false,false,false,false,true
9,33,3,3000,3000,1024,false,false,false,false,false,false
10,18,3,5000,1000,3072,false,false,false,false,false,true
11,25,3,2000,2000,1024,false,false,false,false,false,true
12,24,5,500,500,10485760,false,false,true,true,false,true
13,22,3,2678400,44640,2048,false,false,false,false,false,true
14,58,1,0,300,0,false,false,false,false,false,false
15,27,5,2000,3000,1024,true,false,false,false,false,true
16,32,1,0,0,300,false,false,false,false,false,false
17,15,3,5000,1000,1024,false,false,false,false,false,true
18,19,4,300,300,3072,false,false,true,false,false,true
19,31,4,500,500,10240,false,false,false,true,false,false
20,60,1,300,0,0,false,false,false,false,false,false
21,30,3,2678400,44640,1024,false,false,false,false,false,false
22,22,3,2678400,44640,25600,false,false,false,false,true,false
23,30,2,300,300,100,false,false,false,false,false,false
24,26,4,3000,2000,3072,false,false,true,false,false,true
25,17,3,500,500,10485760,false,false,false,false,false,true
26,18,3,300,300,2048,false,false,false,false,false,true
27,22,5,5000,5000,15360,false,false,true,false,true,false
28,26,5,5000,1000,1024,false,true,false,false,true,false
29,31,4,3000,2000,1024,false,true,true,false,true,false
30,16,3,2000,2000,15360,false,false,false,false,true,false
31,16,2,5000,2000,1024,false,false,false,false,false,false
32,24,5,2000,2000,2048,true,false,false,false,false,true
33,39,1,300,300,300,false,false,false,false,false,false
34,40,1,0,300,51200,false,false,false,false,false,false
35,28,4,2000,5000,3072,false,false,true,false,true,false
36,65,0,0,0,0,false,false,false,false,false,false
37,28,1,500,500,0,false,false,false,false,false,false
38,73,1,0,300,0,false,false,false,false,false,false
39,22,4,3000,1000,2048,false,false,true,false,false,false
40,35,1,500,500,100,false,false,false,false,false,false
41,21,5,2000,3000,1024,false,false,false,true,true,false
42,24,4,300,300,3072,false,false,false,true,false,true
43,26,3,1000,1000,2048,false,false,false,false,false,true
44,18,3,300,300,1024,false,false,false,false,false,true
45,18,3,500,500,3072,false,false,false,false,false,false
46,24,4,5000,3000,3072,false,false,false,true,true,false
47,35,2,3000,1000,1024,false,false,false,false,false,false
48,35,5,3000,2000,10485760,false,false,false,false,false,false
49,17,3,1000,3000,3072,false,false,false,false,false,true
50,16,3,1000,1000,2048,false,false,false,false,false,true
51,27,4,2000,1000,1024,false,false,true,false,true,false
52,18,3,5000,2000,10485760,false,false,false,false,false,true
53,26,5,1000,3000,2048,false,true,true,false,false,true
54,20,5,3000,1000,5120,false,false,true,false,false,true
55,28,3,1000,5000,3072,false,false,false,false,true,false
56,28,5,5000,2000,1024,false,false,true,false,false,true
57,14,1,500,500,1024,false,false,false,false,false,false
58,35,3,300,300,3072,false,false,false,false,true,false
59,33,4,5000,2000,2048,false,false,true,false,true,false
60,35,3,0,0,10240,false,false,false,false,false,true
61,22,3,1000,1000,5120,false,false,false,false,false,true
62,33,5,5000,1000,1024,true,false,false,false,true,false
